,alive,dead,percent,b,z,tage,Lx,dincl,inclination
118-40.0-8.8.txt,37.658228003999966,12.273115340000034,0.7542001773225908,0.06644016719117585,0.002,20.0,6.666059619306712e+40,40.0,8.8
118-40.0-0.txt,38.259839671999934,12.049297779000067,0.7604948446843117,0.06644016719117585,0.002,20.0,6.666059619306712e+40,40.0,0
118-45.0-0.txt,31.16827299399995,19.043618028000054,0.6207348968463223,0.06644016719117585,0.002,20.0,6.666059619306712e+40,45.0,0
118-45.0-58.55.txt,16.999046968000012,32.95117411499999,0.34031975433609135,0.06644016719117585,0.002,20.0,6.666059619306712e+40,45.0,58.55
119-5.0-0.txt,49.9689445,0.0,1.0,0.20418259478716647,0.002,20.0,3.009941199265469e+39,5.0,0
119-5.0-50.04.txt,0.0,49.9689445,0.0,0.20418259478716647,0.002,20.0,3.009941199265469e+39,5.0,50.04
119-10.0-0.txt,49.9689445,0.0,1.0,0.20418259478716647,0.002,20.0,3.009941199265469e+39,10.0,0
119-10.0-45.98.txt,8.225408293000019,41.68955946299998,0.1647884124298826,0.20418259478716647,0.002,20.0,3.009941199265469e+39,10.0,45.98
119-15.0-0.txt,49.9689445,0.0,1.0,0.20418259478716647,0.002,20.0,3.009941199265469e+39,15.0,0
119-15.0-83.59.txt,0.0,49.9689445,0.0,0.20418259478716647,0.002,20.0,3.009941199265469e+39,15.0,83.59
119-20.0-0.txt,49.9689445,0.0,1.0,0.20418259478716647,0.002,20.0,3.009941199265469e+39,20.0,0
119-20.0-63.38.txt,0.0,49.9689445,0.0,0.20418259478716647,0.002,20.0,3.009941199265469e+39,20.0,63.38
119-25.0-82.13.txt,0.0,49.9689445,0.0,0.20418259478716647,0.002,20.0,3.009941199265469e+39,25.0,82.13
119-25.0-0.txt,49.9689445,0.0,1.0,0.20418259478716647,0.002,20.0,3.009941199265469e+39,25.0,0
119-30.0-61.34.txt,10.211535721000025,39.74586235099997,0.20440487525557027,0.20418259478716647,0.002,20.0,3.009941199265469e+39,30.0,61.34
119-30.0-0.txt,49.9689445,0.0,1.0,0.20418259478716647,0.002,20.0,3.009941199265469e+39,30.0,0
119-35.0-38.01.txt,24.664122943999985,25.27200416100001,0.4939134124706763,0.20418259478716647,0.002,20.0,3.009941199265469e+39,35.0,38.01
119-35.0-0.txt,49.9689445,0.0,1.0,0.20418259478716647,0.002,20.0,3.009941199265469e+39,35.0,0
119-40.0-28.6.txt,28.509741151999982,21.450254145000017,0.5706513978337371,0.20418259478716647,0.002,20.0,3.009941199265469e+39,40.0,28.6
119-40.0-0.txt,38.580408476999935,11.729824746000059,0.7668501218428537,0.20418259478716647,0.002,20.0,3.009941199265469e+39,40.0,0
119-45.0-0.txt,31.35473829599995,18.85816093900005,0.6244359272954447,0.20418259478716647,0.002,20.0,3.009941199265469e+39,45.0,0
119-45.0-9.85.txt,35.38276458699998,14.569691214000018,0.7083288302772824,0.20418259478716647,0.002,20.0,3.009941199265469e+39,45.0,9.85
120-5.0-42.41.txt,0.0,49.9689445,0.0,0.0032,0.002,20.0,2.4876239948238092e+42,5.0,42.41
120-5.0-0.txt,49.9689445,0.0,1.0,0.0032,0.002,20.0,2.4876239948238092e+42,5.0,0
120-10.0-78.32.txt,0.0,49.9689445,0.0,0.0032,0.002,20.0,2.4876239948238092e+42,10.0,78.32
120-10.0-0.txt,49.9689445,0.0,1.0,0.0032,0.002,20.0,2.4876239948238092e+42,10.0,0
120-15.0-0.txt,49.9689445,0.0,1.0,0.0032,0.002,20.0,2.4876239948238092e+42,15.0,0
120-15.0-5.44.txt,49.9689445,0.0,1.0,0.0032,0.002,20.0,2.4876239948238092e+42,15.0,5.44
120-20.0-0.txt,49.9689445,0.0,1.0,0.0032,0.002,20.0,2.4876239948238092e+42,20.0,0
120-20.0-18.25.txt,49.9689445,0.0,1.0,0.0032,0.002,20.0,2.4876239948238092e+42,20.0,18.25
120-25.0-0.txt,49.9689445,0.0,1.0,0.0032,0.002,20.0,2.4876239948238092e+42,25.0,0
120-25.0-62.91.txt,21.79909569899999,28.102712883000013,0.43683979235299913,0.0032,0.002,20.0,2.4876239948238092e+42,25.0,62.91
120-30.0-0.txt,49.9689445,0.0,1.0,0.0032,0.002,20.0,2.4876239948238092e+42,30.0,0
120-30.0-80.22.txt,11.664001380000034,38.27739880499997,0.2335537517328827,0.0032,0.002,20.0,2.4876239948238092e+42,30.0,80.22
120-35.0-0.01.txt,49.9689445,0.0,1.0,0.0032,0.002,20.0,2.4876239948238092e+42,35.0,0.01
120-35.0-0.txt,49.9689445,0.0,1.0,0.0032,0.002,20.0,2.4876239948238092e+42,35.0,0
120-40.0-0.txt,49.9689445,0.0,1.0,0.0032,0.002,20.0,2.4876239948238092e+42,40.0,0
120-40.0-1.14.txt,49.9689445,0.0,1.0,0.0032,0.002,20.0,2.4876239948238092e+42,40.0,1.14
120-45.0-0.txt,49.9689445,0.0,1.0,0.0032,0.002,20.0,2.4876239948238092e+42,45.0,0
120-45.0-49.7.txt,27.837944637999968,22.065002439000025,0.557841696103562,0.0032,0.002,20.0,2.4876239948238092e+42,45.0,49.7
121-5.0-0.txt,49.9689445,0.0,1.0,0.0032,0.002,20.0,2.526855722631987e+42,5.0,0
121-5.0-56.84.txt,30.144936194000003,19.798112623999994,0.6035862228566121,0.0032,0.002,20.0,2.526855722631987e+42,5.0,56.84
121-10.0-0.txt,49.9689445,0.0,1.0,0.0032,0.002,20.0,2.526855722631987e+42,10.0,0
121-10.0-15.23.txt,49.9689445,0.0,1.0,0.0032,0.002,20.0,2.526855722631987e+42,10.0,15.23
121-15.0-0.txt,49.9689445,0.0,1.0,0.0032,0.002,20.0,2.526855722631987e+42,15.0,0
121-15.0-69.61.txt,11.502616579000032,38.44068797499997,0.2303134860962815,0.0032,0.002,20.0,2.526855722631987e+42,15.0,69.61
121-20.0-0.txt,49.9689445,0.0,1.0,0.0032,0.002,20.0,2.526855722631987e+42,20.0,0
121-20.0-14.95.txt,49.9689445,0.0,1.0,0.0032,0.002,20.0,2.526855722631987e+42,20.0,14.95
121-25.0-87.56.txt,0.0,49.9689445,0.0,0.0032,0.002,20.0,2.526855722631987e+42,25.0,87.56
121-25.0-0.txt,49.9689445,0.0,1.0,0.0032,0.002,20.0,2.526855722631987e+42,25.0,0
121-30.0-0.txt,49.9689445,0.0,1.0,0.0032,0.002,20.0,2.526855722631987e+42,30.0,0
121-30.0-60.35.txt,23.998308505999972,25.94483820800002,0.4805125444623376,0.0032,0.002,20.0,2.526855722631987e+42,30.0,60.35
121-35.0-0.txt,49.9689445,0.0,1.0,0.0032,0.002,20.0,2.526855722631987e+42,35.0,0
121-35.0-9.33.txt,49.9689445,0.0,1.0,0.0032,0.002,20.0,2.526855722631987e+42,35.0,9.33
121-40.0-0.txt,49.9689445,0.0,1.0,0.0032,0.002,20.0,2.526855722631987e+42,40.0,0
121-40.0-87.35.txt,20.59395289500005,29.653711454999954,0.4098489583824815,0.0032,0.002,20.0,2.526855722631987e+42,40.0,87.35
121-45.0-17.54.txt,44.12689359799998,6.67468446400002,0.8686126549877249,0.0032,0.002,20.0,2.526855722631987e+42,45.0,17.54
121-45.0-0.txt,49.9689445,0.0,1.0,0.0032,0.002,20.0,2.526855722631987e+42,45.0,0
122-5.0-0.txt,49.9689445,0.0,1.0,0.4494420027590199,0.002,20.0,6.436436304823456e+39,5.0,0
122-5.0-61.65.txt,0.0,49.9689445,0.0,0.4494420027590199,0.002,20.0,6.436436304823456e+39,5.0,61.65
122-10.0-0.txt,24.292004233999958,25.644070199000044,0.4864620319042682,0.4494420027590199,0.002,20.0,6.436436304823456e+39,10.0,0
122-10.0-43.64.txt,0.0,49.9689445,0.0,0.4494420027590199,0.002,20.0,6.436436304823456e+39,10.0,43.64
122-15.0-0.txt,15.114494442999987,34.80451811600001,0.3027803169210519,0.4494420027590199,0.002,20.0,6.436436304823456e+39,15.0,0
122-15.0-16.68.txt,13.710648334000025,36.21221993299998,0.2746366306653705,0.4494420027590199,0.002,20.0,6.436436304823456e+39,15.0,16.68
122-20.0-0.txt,11.389495761999974,38.54964996500002,0.2280674928694696,0.4494420027590199,0.002,20.0,6.436436304823456e+39,20.0,0
122-20.0-33.21.txt,0.0,49.9689445,0.0,0.4494420027590199,0.002,20.0,6.436436304823456e+39,20.0,33.21
122-25.0-8.45.txt,9.571959401999939,40.37118731200006,0.19165711477520375,0.4494420027590199,0.002,20.0,6.436436304823456e+39,25.0,8.45
