,Unnamed: 0,alive,dead,MCMC_iter,BH_NS,sim_num,system_num,inclination,dincl,ratio
108,969-33.0-23.17,32.170914100000005,17.775575845999995,3,0.1,2,969,23.17,33.0,0.6441076066562799
109,969-31.0-23.17,32.68962509,17.266531716000006,3,0.1,2,969,23.17,31.0,0.6543662919657143
110,969-37.0-23.17,31.29651623000001,18.611915955999986,3,0.1,2,969,23.17,37.0,0.6270787291687178
111,969-11.0-23.17,49.9689445,0.0,3,0.1,2,969,23.17,11.0,1.0
112,969-4.0-23.17,49.9689445,0.0,3,0.1,2,969,23.17,4.0,1.0
113,969-40.0-23.17,30.90591165000001,19.051932075999996,3,0.1,2,969,23.17,40.0,0.6186398239985561
114,969-28.0-23.17,33.60291633999999,16.322969385999993,3,0.1,2,969,23.17,28.0,0.6730559879181179
115,969-22.0-23.17,36.29299276999999,13.65963146600001,3,0.1,2,969,23.17,22.0,0.7265482709884189
116,969-25.0-23.17,34.71503507,15.214880946,3,0.1,2,969,23.17,25.0,0.6952752545963745
117,969-26.0-23.17,34.30526926999998,15.606807906000011,3,0.1,2,969,23.17,26.0,0.6873139971520865
118,969-1.0-23.17,49.9689445,0.0,3,0.1,2,969,23.17,1.0,1.0
119,969-6.0-23.17,49.9689445,0.0,3,0.1,2,969,23.17,6.0,1.0
120,969-24.0-23.17,35.19528828999999,14.748151056000006,3,0.1,2,969,23.17,24.0,0.7047029349775609
121,969-12.0-23.17,49.9689445,0.0,3,0.1,2,969,23.17,12.0,1.0
122,969-17.0-23.17,40.983295134,8.92889100799999,3,0.1,2,969,23.17,17.0,0.8211079958990912
123,969-35.0-23.17,31.75384277000001,18.175395275999986,3,0.1,2,969,23.17,35.0,0.63597691478378
124,969-32.0-23.17,32.371545510000004,17.550682606,3,0.1,2,969,23.17,32.0,0.6484395174586564
125,969-10.0-23.17,49.9689445,0.0,3,0.1,2,969,23.17,10.0,1.0
126,969-34.0-23.17,31.933619660000005,17.975268285999988,3,0.1,2,969,23.17,34.0,0.6398383328947598
127,969-13.0-23.17,49.9689445,0.0,3,0.1,2,969,23.17,13.0,1.0
128,969-8.0-23.17,49.9689445,0.0,3,0.1,2,969,23.17,8.0,1.0
129,969-36.0-23.17,31.534271770000004,18.415545375999987,3,0.1,2,969,23.17,36.0,0.6313190632475676
130,969-41.0-23.17,30.712197100000008,19.200207355999986,3,0.1,2,969,23.17,41.0,0.6153219311859475
131,969-43.0-23.17,30.444449330000005,19.49699045599999,3,0.1,2,969,23.17,43.0,0.6096029561913923
132,969-44.0-23.17,30.34006268000001,19.613603565999988,3,0.1,2,969,23.17,44.0,0.6073640827599809
133,969-42.0-23.17,30.51118893000001,19.415679075999986,3,0.1,2,969,23.17,42.0,0.6111176236076596
134,969-45.0-23.17,30.17605911000002,19.730186875999987,3,0.1,2,969,23.17,45.0,0.6046549587894305
135,744-7.0-68.95,30.479049690000004,19.452663455999986,3,0.1,3,744,68.95,7.0,0.6104146597349758
136,744-4.0-68.95,35.19713019,14.744467256000005,3,0.1,3,744,68.95,4.0,0.7047658062611503
137,744-19.0-68.95,27.06044846000001,22.864840636,3,0.1,3,744,68.95,19.0,0.5420188635856709
138,744-12.0-68.95,28.159771890000005,21.767193966000004,3,0.1,3,744,68.95,12.0,0.5640192911225325
139,744-2.0-68.95,49.9689445,0.0,3,0.1,3,744,68.95,2.0,1.0
140,744-18.0-68.95,27.11875878000001,22.795112216,3,0.1,3,744,68.95,18.0,0.5433110724306125
141,744-13.0-68.95,27.93893654000001,22.012611226,3,0.1,3,744,68.95,13.0,0.5593207375851706
142,744-5.0-68.95,32.895514090000006,17.041327585999998,3,0.1,3,744,68.95,5.0,0.658742383097284
143,744-11.0-68.95,28.479850800000005,21.476939376,3,0.1,3,744,68.95,11.0,0.5700896854994929
144,744-8.0-68.95,29.86261455000001,20.081001525999998,3,0.1,3,744,68.95,8.0,0.5979265599142358
145,744-6.0-68.95,31.51953166000001,18.434889945999988,3,0.1,3,744,68.95,6.0,0.6309658013578965
146,744-22.0-68.95,26.75141359,23.199774916000003,3,0.1,3,744,68.95,22.0,0.5355510927790375
147,744-14.0-68.95,27.68605876000001,22.228142465999994,3,0.1,3,744,68.95,14.0,0.5546729804338432
148,744-27.0-68.95,26.395953840000004,23.528008676,3,0.1,3,744,68.95,27.0,0.528723132334306
149,744-21.0-68.95,26.80406091,23.141347146000005,3,0.1,3,744,68.95,21.0,0.5366671722843196
150,744-28.0-68.95,26.333767639999994,23.596069516000014,3,0.1,3,744,68.95,28.0,0.5274154521618643
151,744-26.0-68.95,26.49474047000001,23.426290215999995,3,0.1,3,744,68.95,26.0,0.5307330418846955
