,Alive,BH_ratio,Dead,Trans
1850,201,0.1,116,183
1851,244,0.15000000000000002,104,152
1852,218,0.2,122,160
1853,228,0.25,120,152
1854,248,0.30000000000000004,97,155
1855,275,0.35000000000000003,96,129
1856,298,0.4,87,115
1857,290,0.45,85,125
1858,315,0.5,73,112
1859,335,0.55,52,113
1860,355,0.6000000000000001,51,94
1861,353,0.65,51,96
1862,381,0.7000000000000001,43,76
1863,404,0.75,33,63
1864,402,0.8,36,62
1865,430,0.8500000000000001,18,52
1866,445,0.9,13,42
1867,450,0.9500000000000001,15,35
1868,479,1.0,4,17
1869,157,0.0,137,206
1870,171,0.05,143,186
1871,207,0.1,121,172
1872,225,0.15000000000000002,112,163
1873,239,0.2,99,162
1874,246,0.25,85,169
1875,255,0.30000000000000004,89,156
1876,257,0.35000000000000003,92,151
1877,302,0.4,88,110
1878,308,0.45,80,112
1879,308,0.5,75,117
1880,316,0.55,82,102
1881,356,0.6000000000000001,61,83
1882,378,0.65,42,80
1883,383,0.7000000000000001,37,80
1884,396,0.75,37,67
1885,399,0.8,39,62
1886,425,0.8500000000000001,21,54
1887,446,0.9,17,37
1888,455,0.9500000000000001,12,33
1889,476,1.0,2,22
1890,164,0.0,139,197
1891,181,0.05,141,178
1892,182,0.1,137,181
1893,198,0.15000000000000002,135,167
1894,235,0.2,114,151
1895,244,0.25,113,143
1896,269,0.30000000000000004,91,140
1897,260,0.35000000000000003,96,144
1898,266,0.4,89,145
1899,293,0.45,76,131
1900,293,0.5,86,121
1901,326,0.55,80,94
1902,362,0.6000000000000001,63,75
1903,363,0.65,53,84
1904,377,0.7000000000000001,43,80
1905,404,0.75,36,60
1906,398,0.8,39,63
1907,424,0.8500000000000001,27,49
1908,441,0.9,19,40
1909,452,0.9500000000000001,21,27
1910,463,1.0,5,32
1911,172,0.0,141,187
1912,193,0.05,114,193
1913,190,0.1,119,191
1914,220,0.15000000000000002,115,165
1915,222,0.2,101,177
1916,219,0.25,93,188
1917,226,0.30000000000000004,116,158
1918,254,0.35000000000000003,97,149
1919,286,0.4,86,128
1920,302,0.45,94,104
1921,319,0.5,71,110
1922,325,0.55,61,114
1923,344,0.6000000000000001,56,100
1924,371,0.65,54,75
1925,379,0.7000000000000001,41,80
1926,391,0.75,41,68
1927,390,0.8,41,69
1928,425,0.8500000000000001,24,51
1929,435,0.9,22,43
1930,460,0.9500000000000001,6,34
1931,472,1.0,8,20
1932,171,0.0,135,194
1933,187,0.05,130,183
1934,205,0.1,123,172
1935,215,0.15000000000000002,132,153
1936,226,0.2,104,170
1937,243,0.25,112,145
1938,271,0.30000000000000004,97,132
1939,275,0.35000000000000003,98,127
1940,287,0.4,81,132
1941,300,0.45,80,120
1942,308,0.5,73,119
1943,345,0.55,54,101
1944,336,0.6000000000000001,67,97
1945,368,0.65,51,81
1946,387,0.7000000000000001,37,76
1947,397,0.75,34,69
1948,413,0.8,37,50
1949,426,0.8500000000000001,28,46
1950,443,0.9,24,33
1951,454,0.9500000000000001,15,31
1952,464,1.0,11,25
1953,165,0.0,133,202
1954,190,0.05,137,173
1955,231,0.1,124,145
1956,197,0.15000000000000002,131,172
1957,225,0.2,117,158
1958,232,0.25,109,159
1959,277,0.30000000000000004,95,128
1960,268,0.35000000000000003,93,139
1961,300,0.4,77,123
1962,297,0.45,72,131
1963,315,0.5,69,116
1964,329,0.55,52,119
1965,344,0.6000000000000001,60,96
1966,373,0.65,56,71
1967,377,0.7000000000000001,57,66
1968,399,0.75,35,66
1969,414,0.8,27,59
1970,425,0.8500000000000001,22,53
1971,439,0.9,17,44
1972,452,0.9500000000000001,16,32
1973,472,1.0,13,15
1974,171,0.0,146,183
1975,190,0.05,130,180
1976,213,0.1,110,177
1977,229,0.15000000000000002,109,162
1978,212,0.2,121,167
1979,268,0.25,95,137
1980,255,0.30000000000000004,111,134
1981,260,0.35000000000000003,98,142
1982,293,0.4,88,119
1983,290,0.45,79,131
1984,300,0.5,82,118
1985,330,0.55,72,98
1986,344,0.6000000000000001,69,87
1987,385,0.65,45,70
1988,391,0.7000000000000001,42,67
1989,398,0.75,45,57
1990,404,0.8,35,61
1991,418,0.8500000000000001,26,56
1992,439,0.9,20,41
1993,449,0.9500000000000001,13,38
1994,475,1.0,7,18
1995,153,0.0,152,195
1996,168,0.05,125,207
1997,221,0.1,120,159
1998,201,0.15000000000000002,109,190
1999,219,0.2,114,167
2000,233,0.25,105,162
2001,266,0.30000000000000004,84,150
2002,269,0.35000000000000003,86,145
2003,267,0.4,96,137
2004,302,0.45,75,123
2005,338,0.5,62,100
2006,347,0.55,65,88
2007,358,0.6000000000000001,49,93
2008,375,0.65,50,75
2009,370,0.7000000000000001,42,88
2010,382,0.75,45,73
2011,398,0.8,38,64
2012,413,0.8500000000000001,33,54
2013,432,0.9,15,53
2014,462,0.9500000000000001,17,21
2015,474,1.0,4,22
2016,166,0.0,122,212
2017,174,0.05,135,191
2018,216,0.1,120,164
2019,198,0.15000000000000002,97,205
2020,238,0.2,108,154
2021,246,0.25,92,162
2022,263,0.30000000000000004,91,146
2023,271,0.35000000000000003,97,132
2024,286,0.4,79,135
2025,291,0.45,77,132
2026,322,0.5,68,110
2027,322,0.55,76,102
2028,342,0.6000000000000001,64,94
2029,377,0.65,46,77
2030,381,0.7000000000000001,44,75
2031,375,0.75,39,86
2032,412,0.8,31,57
2033,418,0.8500000000000001,32,50
2034,455,0.9,15,30
2035,454,0.9500000000000001,16,30
2036,469,1.0,5,26
2037,152,0.0,160,188
2038,187,0.05,130,183
2039,208,0.1,119,173
2040,207,0.15000000000000002,112,181
2041,231,0.2,111,158
2042,249,0.25,97,154
2043,254,0.30000000000000004,102,144
2044,270,0.35000000000000003,88,142
2045,291,0.4,86,123
2046,295,0.45,80,125
2047,319,0.5,77,104
2048,322,0.55,73,105
2049,341,0.6000000000000001,52,107
2050,365,0.65,53,82
2051,379,0.7000000000000001,40,81
2052,398,0.75,30,72
2053,408,0.8,36,56
2054,433,0.8500000000000001,31,36
2055,446,0.9,18,36
2056,451,0.9500000000000001,16,33
2057,468,1.0,12,20
2058,167,0.0,119,214
2059,189,0.05,126,185
2060,179,0.1,129,192
2061,185,0.15000000000000002,135,180
2062,239,0.2,106,155
2063,238,0.25,102,160
2064,265,0.30000000000000004,96,139
2065,279,0.35000000000000003,85,136
2066,284,0.4,86,130
2067,305,0.45,76,119
2068,326,0.5,74,100
2069,325,0.55,75,100
2070,354,0.6000000000000001,61,85
2071,369,0.65,66,65
