,mdot,m,Z,tage
489,0.28,7.2,0.002,10
490,1,11.2,0.002,10
491,1.4,19.1,0.002,10
492,0.036,6.6,0.002,10
493,270,24.3,0.002,10
494,5.3,32.6,0.002,10
495,0.016,6.6,0.002,10
496,470,17.2,0.002,10
497,2,20.7,0.002,10
498,1.1,19.5,0.002,10
499,2.9,34.1,0.002,10
500,5.1,25.5,0.002,10
501,2.7,16.2,0.002,10
502,0.084,7.3,0.002,10
503,11,13.8,0.002,10
504,2,27.3,0.002,10
505,98,10.6,0.002,10
506,2.1,33.6,0.002,10
507,0.67,21.2,0.002,10
508,1.1,9.7,0.002,10
509,8.8,36.1,0.002,10
510,5.8,34.4,0.002,10
511,0.14,7.5,0.002,10
512,3.1,19.7,0.002,10
513,2.2,22.1,0.002,10
514,0.98,21,0.0002,10
515,0.54,15.4,0.0002,10
516,1.9,19,0.0002,10
517,1.7,16.6,0.0002,10
518,0.59,13.5,0.0002,10
519,150,27.3,0.0002,10
520,1.5,25,0.0002,10
521,2,16.5,0.002,10
522,0.25,9.1,0.002,10
523,1.6,18.2,0.002,10
524,2,21.8,0.002,10
525,1.8,17.8,0.002,10
526,2.5,15.3,0.002,10
527,0.49,10.7,0.002,10
528,0.2,8.1,0.002,10
529,0.0061,5.9,0.002,10
530,1.6,14.3,0.002,10
531,3.5,17.9,0.002,10
532,22,27.8,0.002,10
533,2.2,21.8,0.002,10
534,1.4,11.9,0.002,10
535,2.3,23.3,0.002,10
536,2.1,20.3,0.002,10
537,0.012,5.6,0.002,10
538,1.3,14.2,0.002,10
539,2.6,15.3,0.002,10
540,0.046,6.1,0.002,10
541,1.5,18.5,0.002,10
542,1.7,26.9,0.0002,10
543,2.1,21.8,0.002,10
544,0.17,6.5,0.002,10
545,2,19.8,0.002,10
546,6.3,11,0.002,10
547,6.1,12.8,0.002,10
548,3.2,36.2,0.002,10
549,2.2,26.7,0.002,10
550,1.6,16.9,0.002,10
551,0.26,8.9,0.002,10
552,1.6,16.1,0.002,10
553,0.1,6.7,0.002,10
554,1.8,23.6,0.002,10
555,0.046,5.7,0.002,10
556,1.6,25.5,0.002,10
557,0.05,5.8,0.002,10
558,0.84,11.5,0.002,10
559,6.7,13.8,0.002,10
560,6.7,10,0.002,10
561,3.1,19.3,0.002,10
562,2.5,16.5,0.002,10
563,3.1,19.7,0.002,10
564,2.9,33.1,0.002,10
565,2,25.8,0.002,10
566,2.3,15.1,0.002,10
567,3.4,33.7,0.002,10
568,0.059,8.2,0.002,10
569,0.73,20.9,0.002,10
570,1.8,14.6,0.002,10
571,310,30.8,0.002,10
572,3,12.8,0.002,10
573,1.8,15,0.002,10
574,10,35.4,0.002,10
575,2.6,1.9,0.002,10
576,0.84,17.1,0.002,10
577,1.3,28.2,0.002,10
578,0.046,6.2,0.002,10
579,1.8,32,0.002,10
580,0.0016,1.9,0.002,10
581,2.1,12.5,0.002,10
582,1.7,16.5,0.002,10
583,0.015,1.9,0.002,10
584,5.7,36.9,0.002,10
585,5.3,16,0.002,10
586,2.8,32.6,0.002,10
587,4.2,32.6,0.002,10
588,1.5,15.6,0.002,10
589,1.9,18.5,0.002,10
590,0.91,32.7,0.002,10
591,6.4,36.3,0.002,10
592,0.063,1.9,0.002,10
593,41,39.6,0.002,10
594,1.7,15.9,0.002,10
595,1.7,17.6,0.002,10
596,2.2,24.8,0.002,10
597,1.5,12.6,0.002,10
598,0.058,7.1,0.002,10
599,2.2,21.5,0.002,10
600,1.8,33.7,0.002,10
601,1.4,15.8,0.002,10
602,0.2,8.2,0.002,10
603,2.4,16.7,0.002,10
604,0.015,5.7,0.002,10
605,9.2,35.9,0.002,10
606,2.8,18,0.002,10
607,5,16.6,0.002,10
608,0.067,7.3,0.002,10
609,0.24,8.8,0.002,10
610,0.93,14,0.002,10
611,2.4,22,0.002,10
612,0.4,5.8,0.002,10
613,0.82,31.5,0.002,10
614,610,19.3,0.002,10
615,3.9,8.9,0.002,10
616,0.0041,5.8,0.002,10
617,3.1,16.9,0.002,10
618,1.9,11.7,0.002,10
619,1.8,15.6,0.002,10
620,3.4,27.1,0.002,10
621,6.2,14.8,0.002,10
622,0.91,12.5,0.002,10
623,13,10.7,0.002,10
624,0.042,6.6,0.002,10
625,2.3,11.2,0.002,10
626,2.7,32.9,0.002,10
627,4.1,17,0.002,10
628,1.5,7,0.002,10
629,1.4,17.7,0.002,10
630,2.7,20.2,0.002,10
631,0.26,6.3,0.002,10
632,0.24,6.8,0.002,10
633,0.065,7.3,0.002,10
634,0.011,5.6,0.002,10
635,2,17.4,0.002,10
636,3.9,15,0.002,10
637,3.1,15.3,0.002,10
638,96,24.2,0.002,10
639,0.23,8.7,0.002,10
640,2.7,28,0.002,10
641,3,17.9,0.002,10
642,2.1,33.3,0.002,10
643,1.4,12.3,0.002,10
644,0.26,12.6,0.002,10
645,0.11,6.3,0.002,10
646,1.8,15.5,0.002,10
647,0.22,7.1,0.002,10
648,2.1,20.4,0.002,10
649,0.097,6.7,0.002,10
650,0.0083,7.2,0.002,10
651,0.2,6.7,0.0002,20
652,0.42,20.9,0.0002,20
653,0.29,16.1,0.0002,20
654,0.45,16,0.0002,20
655,1.3,1.3,0.0002,20
656,0.28,9,0.0002,20
657,0.37,7.2,0.0002,20
658,0.25,8.1,0.0002,20
659,4.6,24.9,0.0002,20
660,1.1,1.3,0.0002,20
661,0.00025,1.4,0.02,20
662,0.51,17.3,0.002,20
663,0.27,8.3,0.0002,20
664,0.2,15.5,0.0002,20
665,0.13,14,0.0002,20
666,1.2,9,0.0002,20
667,0.25,8.2,0.0002,20
668,0.25,15.1,0.0002,20
669,0.23,14.6,0.0002,20
670,0.14,15.7,0.0002,20
671,0.074,7.3,0.0002,20
672,0.43,13.3,0.0002,20
673,0.078,16.3,0.0002,20
674,0.46,28.2,0.0002,20
675,0.78,14.8,0.0002,20
676,2.1,15.1,0.0002,20
677,0.27,8.9,0.0002,20
678,0.32,7.8,0.0002,20
679,0.47,17.5,0.0002,20
680,0.36,7.4,0.002,20
681,2.7,14.2,0.0002,20
682,0.018,9.8,0.0002,20
683,4.9,13.8,0.0002,20
684,0.00046,1.4,0.0002,20
685,0.34,8.1,0.0002,20
686,2,12.5,0.0002,20
687,0.29,9.3,0.0002,20
688,7.2,22.1,0.0002,20
689,0.00026,1.4,0.0002,20
690,0.7,14.8,0.0002,20
691,0.26,7.1,0.0002,20
692,0.39,16.2,0.0002,20
693,0.48,16.6,0.0002,20
694,0.46,25.3,0.0002,20
695,0.5,14.1,0.0002,20
696,0.25,16,0.0002,20
697,0.42,20.6,0.0002,20
698,0.097,8.1,0.0002,20
699,0.69,6.5,0.0002,20
700,0.44,27.2,0.0002,20
701,0.21,6.6,0.02,20
702,0.34,27.2,0.0002,20
703,0.0067,7.6,0.0002,20
704,0.12,19.9,0.0002,20
705,0.077,13.2,0.0002,20
706,26,26.2,0.0002,20
707,0.12,8.7,0.0002,20
708,0.59,27,0.0002,20
709,0.045,6.7,0.0002,20
710,0.13,16.6,0.0002,20
711,0.17,15.1,0.0002,20
712,0.055,6.2,0.002,20
713,0.06,7.7,0.002,20
714,0.31,16.5,0.0002,20
715,0.036,7.4,0.0002,20
716,0.0076,1.4,0.0002,20
717,0.13,25.5,0.0002,20
718,0.31,1.3,0.0002,20
719,0.2,14.5,0.0002,20
720,0.00019,1.4,0.0002,20
721,0.18,8.3,0.0002,20
722,0.15,7.2,0.0002,20
723,0.67,25.6,0.0002,20
724,0.2,6.7,0.0002,20
725,3.3,19.7,0.0002,20
726,0.062,15.1,0.0002,20
727,0.97,13.3,0.0002,20
728,0.2,15.1,0.0002,20
729,0.53,6.8,0.0002,20
730,0.52,12.8,0.0002,20
731,0.26,8.7,0.0002,20
732,1.8,14.6,0.0002,20
733,0.51,38.3,0.0002,20
734,0.11,25.7,0.0002,20
735,0.45,15.2,0.0002,20
736,0.21,13.6,0.0002,20
737,0.44,12.1,0.0002,20
738,0.18,14.1,0.0002,20
739,0.19,6.6,0.0002,20
740,0.18,18.2,0.0002,20
741,0.15,14.6,0.0002,20
742,0.69,24.2,0.0002,20
743,0.42,6.6,0.002,20
744,0.45,29.8,0.0002,20
745,0.075,8,0.002,20
746,0.36,18.5,0.002,20
747,0.16,33.9,0.002,20
748,0.22,18.2,0.002,20
749,0.068,7.3,0.002,20
750,0.71,15.4,0.002,20
751,0.28,14.5,0.002,20
752,0.45,17.7,0.002,20
753,1,10.3,0.002,20
754,0.0035,1.7,0.002,20
755,0.18,8.8,0.002,20
756,0.00012,1.4,0.002,20
757,0.00056,1.7,0.002,20
758,0.29,9.1,0.0002,20
759,0.15,27.6,0.0002,20
760,0.33,7.3,0.002,20
761,0.86,17,0.002,20
762,0.0058,1.8,0.002,20
763,0.00024,1.4,0.002,20
764,4.3,7.9,0.002,20
765,0.02,6.7,0.002,20
766,2.3,8.7,0.002,20
767,0.019,7.3,0.002,20
768,0.44,10,0.002,20
769,0.78,31,0.002,20
770,0.011,6.2,0.002,20
771,0.012,7,0.002,20
772,1.2,7.3,0.002,20
773,0.31,17,0.002,20
774,0.31,14.3,0.002,20
775,0.15,6.3,0.0002,20
776,0.28,15.2,0.0002,20
777,0.4,26.9,0.0002,20
778,0.00014,1.4,0.002,20
779,0.46,10.5,0.002,20
780,0.45,7.8,0.002,20
781,0.58,8.2,0.002,20
782,0.054,6.6,0.002,20
783,0.00035,1.6,0.002,20
784,0.00062,1.8,0.002,20
785,0.00015,1.4,0.002,20
786,0.0028,1.4,0.002,20
787,0.051,7.7,0.002,20
788,0.66,10,0.002,20
789,0.063,10.9,0.002,20
790,0.0069,1.9,0.002,20
791,23,11.2,0.002,20
792,1.8,6.5,0.002,20
793,0.93,6.5,0.002,20
794,0.039,7.4,0.002,20
795,0.036,6.3,0.002,20
796,0.0003,1.7,0.002,20
797,0.13,9.2,0.002,20
798,0.00014,1.4,0.002,20
799,0.042,7.6,0.002,20
800,1.6,7,0.002,20
801,0.051,6.1,0.002,20
802,0.059,7.2,0.002,20
803,0.22,7.3,0.002,20
804,0.7,1.3,0.002,20
805,0.88,15.3,0.002,20
806,0.051,6.8,0.002,20
807,0.12,6.5,0.002,20
808,0.055,7,0.002,20
809,0.32,12,0.002,20
810,0.0049,1.9,0.002,20
811,0.045,5.8,0.002,20
812,1.2,10.8,0.002,20
813,0.043,6.4,0.002,20
814,0.47,20,0.002,20
815,0.0039,1.9,0.002,20
816,0.00021,1.4,0.002,20
817,0.066,6.9,0.002,20
818,0.061,6.1,0.002,20
819,0.37,17.1,0.002,20
820,0.89,7,0.002,20
821,0.17,10.3,0.002,20
822,0.46,14.5,0.002,20
823,0.017,7.3,0.002,20
824,0.0059,5.8,0.002,20
825,0.09,6.5,0.002,20
826,0.073,6.6,0.002,20
827,0.4,8.8,0.002,20
828,0.00072,1.5,0.002,20
829,0.0021,1.7,0.002,20
830,0.45,7.5,0.002,20
831,0.053,11.1,0.002,20
832,0.07,7.3,0.002,20
833,0.094,7,0.002,20
834,0.0066,1.6,0.002,20
835,0.7,9.4,0.002,20
836,0.089,10.2,0.002,20
837,0.73,11.4,0.002,20
838,0.054,6.3,0.002,20
839,1.4,8.7,0.002,20
840,0.73,9.2,0.002,20
841,0.039,7.2,0.002,20
842,0.13,7.6,0.02,20
843,0.00035,1.9,0.02,20
844,0.14,9.9,0.02,20
845,0.15,8.6,0.02,20
846,0.045,6.5,0.02,20
847,0.00093,1.5,0.02,20
848,2.5,8.2,0.02,20
849,1.6,8.4,0.02,20
850,0.00012,1.2,0.02,20
851,0.0027,1.5,0.02,20
852,0.16,6.2,0.02,20
853,0.00025,1.6,0.02,20
854,0.16,7.8,0.02,20
855,0.11,6.1,0.02,20
856,1.3,7.6,0.02,20
857,0.27,15.1,0.0002,20
858,0.36,7.8,0.0002,20
859,0.012,6.7,0.0002,20
860,0.52,25.5,0.0002,20
861,0.29,14.7,0.0002,20
862,0.31,16.8,0.0002,20
863,0.28,8.9,0.0002,20
864,0.031,7,0.0002,20
865,0.2,29.1,0.0002,20
