,Alive,BH_ratio,Dead,Trans
265,351,0.65,49,100
266,386,0.7000000000000001,43,71
267,396,0.75,38,66
268,409,0.8,36,55
269,428,0.8500000000000001,20,52
270,446,0.9,18,36
271,467,0.9500000000000001,8,25
272,467,1.0,7,26
273,163,0.0,150,187
274,189,0.05,118,193
275,211,0.1,123,166
276,208,0.15000000000000002,120,172
277,239,0.2,111,150
278,246,0.25,93,161
279,255,0.30000000000000004,95,150
280,246,0.35000000000000003,117,137
281,286,0.4,80,134
282,288,0.45,84,128
283,317,0.5,61,122
284,331,0.55,66,103
285,363,0.6000000000000001,41,96
286,349,0.65,47,104
287,371,0.7000000000000001,53,76
288,393,0.75,45,62
289,403,0.8,38,59
290,426,0.8500000000000001,26,48
291,444,0.9,18,38
292,446,0.9500000000000001,11,43
293,478,1.0,7,15
294,172,0.0,139,189
295,182,0.05,120,198
296,208,0.1,114,178
297,218,0.15000000000000002,108,174
298,233,0.2,99,168
299,239,0.25,110,151
300,283,0.30000000000000004,89,128
301,278,0.35000000000000003,90,132
302,300,0.4,78,122
303,305,0.45,58,137
304,307,0.5,87,106
305,328,0.55,64,108
306,346,0.6000000000000001,59,95
307,357,0.65,54,89
308,377,0.7000000000000001,47,76
309,382,0.75,45,73
310,426,0.8,29,45
311,424,0.8500000000000001,21,55
312,437,0.9,14,49
313,458,0.9500000000000001,14,28
314,470,1.0,7,23
315,154,0.0,144,202
316,176,0.05,128,196
317,174,0.1,122,204
318,202,0.15000000000000002,134,164
319,234,0.2,121,145
320,235,0.25,119,146
321,238,0.30000000000000004,108,154
322,288,0.35000000000000003,87,125
323,278,0.4,86,136
324,304,0.45,69,127
325,310,0.5,82,108
326,343,0.55,61,96
327,351,0.6000000000000001,56,93
328,358,0.65,59,83
329,386,0.7000000000000001,50,64
330,399,0.75,40,61
331,417,0.8,24,59
332,416,0.8500000000000001,30,54
333,448,0.9,13,39
334,458,0.9500000000000001,10,32
335,470,1.0,6,24
336,159,0.0,127,214
337,180,0.05,118,202
338,206,0.1,130,164
339,214,0.15000000000000002,119,167
340,219,0.2,120,161
341,236,0.25,100,164
342,251,0.30000000000000004,111,138
343,264,0.35000000000000003,88,148
344,281,0.4,87,132
345,292,0.45,94,114
346,310,0.5,75,115
347,345,0.55,50,105
348,342,0.6000000000000001,57,101
349,361,0.65,57,82
350,371,0.7000000000000001,47,82
351,402,0.75,37,61
352,417,0.8,31,52
353,413,0.8500000000000001,29,58
354,450,0.9,16,34
355,453,0.9500000000000001,11,36
356,464,1.0,8,28
357,159,0.0,140,201
358,175,0.05,149,176
359,202,0.1,125,173
360,203,0.15000000000000002,139,158
361,223,0.2,130,147
362,245,0.25,113,142
363,275,0.30000000000000004,86,139
364,265,0.35000000000000003,95,140
365,284,0.4,87,129
366,303,0.45,83,114
367,307,0.5,78,115
368,325,0.55,72,103
369,366,0.6000000000000001,47,87
370,363,0.65,45,92
371,375,0.7000000000000001,50,75
372,395,0.75,40,65
373,409,0.8,29,62
374,424,0.8500000000000001,29,47
375,451,0.9,14,35
376,444,0.9500000000000001,16,40
377,469,1.0,3,28
378,153,0.0,135,212
379,189,0.05,120,191
380,216,0.1,114,170
381,205,0.15000000000000002,125,170
382,219,0.2,111,170
